split,quintile,count,avg_lambda_pred,avg_future_market_excess_return,avg_future_market_sharpe
train,1,342,-0.09752395703342923,-0.0029616259062893,-0.2412649496888731
train,2,342,-0.032736275763773734,-0.00024350782646338328,-0.020984982564793125
train,3,342,0.04340978938955487,0.00043787715410563416,0.05026823415115274
train,4,342,0.07829471555543922,0.0009598823704105566,0.11350840630778383
train,5,342,0.09119227718104396,0.001763698659136967,0.16986086923827837
val,1,73,-0.051969718328383686,0.00048309605137409847,0.1034777649990857
val,2,73,0.020693684220058867,0.00013292783343835977,0.03769685940861651
val,3,73,0.058092845884496216,0.0006032033802597814,0.11888594366978832
val,4,73,0.07596356891197702,0.0005498474538025258,0.11494452646959012
val,5,74,0.08642476676283656,0.0005131088082389151,0.10090517909014346
test,1,69,-0.09210798786818117,-0.001625041398401136,-0.13681586093498746
test,2,69,-0.017735157141704923,5.774630667672128e-06,0.023548381659539715
test,3,70,0.047763411727334774,0.00035752146986851586,0.060582487046485764
test,4,69,0.08479741388472958,0.00037423462785939233,0.04323669914426147
test,5,70,0.0929623435650553,0.0012255297292930274,0.16031397907063366
