date,lambda_pred,sign_logit,negative_logit,tail_logit,sign_prob,negative_prob,tail_prob,market_return_pred,market_sharpe_target,market_return_target,market_sigma_target,market_sign_target,market_negative_target,market_tail_downside_target,market_strong_downside_target,aux_lambda_target,train_flag,val_flag,test_flag,market_target_valid,aux_target_valid,lambda_pred_affine,market_return_pred_affine
2010-01-04,-0.10630234,-2.8668575,3.2313006,4.3725657,0.05381644,0.96199536,0.98753846,-0.0011511229,-0.3905765,-0.00422946,0.010828762,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36864933,-0.003992016
2010-01-05,-0.10597983,-2.6383595,2.8349638,4.3947825,0.0667101,0.94453615,0.9878088,-0.0012310534,-0.31180736,-0.00362193,0.011615922,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.3676439,-0.004270523
2010-01-06,-0.10641818,-2.9658117,3.24361,4.834692,0.0489945,0.96244276,0.9921136,-0.0013076179,-0.3697726,-0.0045435964,0.012287542,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36901045,-0.0045342315
2010-01-07,-0.10674828,-3.7656634,4.178481,6.026132,0.022628352,0.9849095,0.997591,-0.001455811,-0.41730368,-0.0056911013,0.013637792,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.37003958,-0.005046523
2010-01-08,-0.10674175,-3.735926,4.125926,5.963405,0.023295457,0.9841081,0.9974355,-0.0014673589,-0.3692507,-0.005076021,0.013746814,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.3700192,-0.005086585
2010-01-11,-0.106601775,-3.2738774,3.6315823,5.36679,0.036478303,0.9742086,0.9953526,-0.0014735718,-0.3459951,-0.0047827405,0.013823145,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36958283,-0.005108797
2010-01-12,-0.106407456,-2.9141593,3.2065964,4.895654,0.05145804,0.96108174,0.9925764,-0.0014707883,-0.34589872,-0.0047810916,0.01382223,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36897704,-0.0051000854
2010-01-13,-0.10637129,-2.8943975,3.1426244,4.892726,0.05243121,0.9586171,0.99255484,-0.001505702,-0.30235174,-0.004279835,0.014155154,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.3688643,-0.005221331
2010-01-14,-0.106103085,-2.6514394,2.928892,4.3982005,0.06590035,0.94925636,0.98785,-0.0015032106,-0.3377967,-0.0047857193,0.014167455,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36802813,-0.005214022
2010-01-15,-0.106232285,-2.771335,3.0446715,4.6536617,0.058892988,0.95455194,0.9905633,-0.0015266603,-0.2891526,-0.004155401,0.014370964,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36843094,-0.0052947076
2010-01-18,-0.10672657,-3.6577992,3.9971898,6.0366273,0.025140842,0.9819641,0.9976162,-0.0015559124,-0.25889683,-0.0037743254,0.014578491,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.3699719,-0.005393632
2010-01-19,-0.10673795,-3.644192,4.131808,5.7174697,0.025476504,0.9841999,0.99672276,-0.0015448752,-0.24690452,-0.0035735809,0.014473533,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.37000737,-0.005355314
2010-01-20,-0.10664641,-3.3416562,3.6594946,5.6043134,0.034169458,0.97490066,0.99633163,-0.0015583428,-0.27210405,-0.0039760494,0.014612239,0.0,1.0,1.0,1.0,,True,False,False,True,False,-0.36972198,-0.005402466
2010-01-21,-0.103770524,-2.0149868,2.3990295,2.651146,0.11763837,0.9167533,0.93408155,-0.0014022184,-0.1939656,-0.002620996,0.013512685,0.0,1.0,1.0,0.0,,True,False,False,True,False,-0.36075628,-0.004874786
